,Commodity,Time,Country,Customs Value (Gen) ($US),Customs  Value (Cons) ($US),Dutiable Value ($US),Calculated Duty ($US),Customs Value (Cons) ($US),code,year,month
48768,"6103220040 M/b Ensembles Of Shorts Of Cotton, Knit (doz)",November 2018,China,81000,,0,0,0,6103220040,2018,November
48769,"6103220050 M/b Ensembles Of Shirts Of Cotton, Knit (doz)",April 2018,China,66000,,0,0,0,6103220050,2018,April
48770,"6103220050 M/b Ensembles Of Shirts Of Cotton, Knit (doz)",May 2018,China,84672,,0,0,0,6103220050,2018,May
48771,"6103220050 M/b Ensembles Of Shirts Of Cotton, Knit (doz)",June 2018,China,364510,,0,0,0,6103220050,2018,June
48772,"6103220050 M/b Ensembles Of Shirts Of Cotton, Knit (doz)",August 2018,China,166477,,0,0,0,6103220050,2018,August
48773,"6103220050 M/b Ensembles Of Shirts Of Cotton, Knit (doz)",October 2018,China,124176,,0,0,0,6103220050,2018,October
48774,"6103220070 M/b Ensembles Of Sweaters Of Cotton, Knit (doz)",August 2018,China,295512,,0,0,0,6103220070,2018,August
48776,"6103230007 M/b Ens Of St-type Tckts Syn Fib Gt=23% Wl, Knit (doz)",July 2018,China,108216,,0,0,0,6103230007,2018,July
48777,"6103230075 M/b Ens Of Shirts Of Other Synthetic Fibers, Knit (doz)",August 2018,China,89958,,0,0,0,6103230075,2018,August
48778,"6103230075 M/b Ens Of Shirts Of Other Synthetic Fibers, Knit (doz)",October 2018,China,107520,,0,0,0,6103230075,2018,October
48779,"6103290520 M/b Ensembles Of Suit-type Jackets Of Wool, Knit (doz)",August 2018,China,59738,,0,0,0,6103290520,2018,August
48780,"6103291050 M/b Ens Of Shirts Of Artificial Fibers, Knit (doz)",June 2018,China,71760,,0,0,0,6103291050,2018,June
48781,"6103292054 M/b Ens Of Shirts Other Tex Mat Lt 70% Silk, Knit (doz)",December 2018,China,118944,,0,0,0,6103292054,2018,December
49022,"6103431535 Boys' Trsrs/brchs Imp Prts Plyst Of Syn Fib, Knit (doz)",October 2018,China,34251,,0,0,0,6103431535,2018,October
49292,"6104220010 W/g Ens Of Overcoats Jackets Blazers Of Cot, Knit (doz)",February 2018,China,82147,,0,0,0,6104220010,2018,February
49293,"6104220010 W/g Ens Of Overcoats Jackets Blazers Of Cot, Knit (doz)",July 2018,China,66000,,0,0,0,6104220010,2018,July
49294,"6104220010 W/g Ens Of Overcoats Jackets Blazers Of Cot, Knit (doz)",August 2018,China,193012,,0,0,0,6104220010,2018,August
49302,"6104220050 W/g Ensembles Of Shorts Of Cotton, Knit (doz)",November 2018,China,134136,,0,0,0,6104220050,2018,November
